Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Les Oranges Bleues, Némésis, Dwarf, 955, 2, 0, 0, 3, 0, 4, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4
Discipline Zéro, LePiotr, Khorne, 1000, 1, 0, 0, 2, 1, 1, 2, 2, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 14, 10
LA BAFFE, LoKKhaR, ChaosRenegade, 970, 1, 0, 0, 1, 0, 4, 0, 2, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 9, 6
Elvish Rebloch' Club, Jibz74, Elf, 1000, 1, 0, 0, 3, 1, 0, 1, 3, 2, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 20, 11
[GFB] Lé TotOrk Flingueur, Kanwulf, Orc, 995, 1, 0, 0, 1, 0, 2, 4, 2, 2, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 10, 8
[FB] LYF, Grimdark, Lizardman, 1000, 1, 0, 0, 2, 1, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 12, 9
Les bails et les termes, Nourrou, DarkElf, 1000, 1, 0, 0, 2, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0, 5, 2, 0, 0, 0, 12, 7
[GFB]La caida de Tonatiuh, Akol, Amazon, 990, 1, 0, 0, 2, 0, 1, 1, 2, 3, 0, 1, 0, 4, 0, 4, 1, 0, 0, 0, 14, 12
les khornes U, NAINVERT, Khorne, 1000, 1, 0, 0, 2, 0, 3, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6
{GFB} émo glob ine, PETIT_lutin, Vampire, 980, 1, 0, 0, 2, 1, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 13, 7
[GFB] Fist & Furious, Wilhelm, Orc, 1000, 1, 0, 0, 2, 1, 6, 2, 2, 1, 0, 1, 0, 2, 0, 7, 0, 0, 0, 1, 14, 11
